"","x"
"191","Valentines day is next week. Our brand new Sweetheart album is sure to make your Valentine swoon. Our favorite artists sing their favorite love songs. Hear Jose Gonzalez, Yo La Tango, The Avett Brothers and Spoon sing classic love songs."
"192","Through our partnership with PRODUCT(RED) we've now generated more than 14
million days of medicine to help those living with HIV in Africa. In
honor of this, and Valentines Day, we have limited-time cup created
with a drawing from http://StarbucksLoveProject.com"
"193","There's still time to donate to the Haiti Relief. We're proud to announce we've already collected nearly $450k (USD) from our customers in US, UK/Ireland and Canada! This is in addition to the already announced $1 million (USD) we donated from The Starbucks Foundation to the American Red Cross. Thank you."
"194","Valentine's day is coming up in a couple weeks ... Did you meet your Valentine at a Starbucks like these two? Tell us!"
"195","In Seattle we're enjoying this new coffee from the Chiapas region in Mexcio. It's only seasonally available, so once we're out of it, it's all gone. The coffee is grown on the slopes of the Sierra Madre de Chiapas and grown in volcanic soil. What's in your cup?"
"196","Recycling is a priority at Starbucks. Today, our director of environmental impact spoke at the US Conference of Mayors about the challenges we're facing towards our achieving our Recycling goals."
"197","We're devastated by the destruction in Haiti. If you're looking for a way to contribute, we've made it easy. 

Starting today, Starbucks stores in the U.S. and Canada will enable customers to make monetary donations at store registers, with no purchase necessary, to benefit the American and Canadian Red Cross organizations for a limited time. The Starbucks Foundation will also donate $1 million (U.S.) from The Starbucks Foundation to the American Red Cross efforts to help Haiti."
"198","We are devastated by the destruction in Haiti. To aid with the recovery effort, the Starbucks Foundation is donating $1 million dollars to the American RedCross. Watch the TODAY show and MSNBC's Morning Joe tomorrow morning or check back here for an important announcement on how you can help Haiti."
"199","Curious where our new Tazo full leaf Teas come from? Check out these photos that our Tazo tea buyers took from their journeys to find the very best teas."
"200","Are you a tea drinker? Today is a big day for you at Starbucks. Now all of our teas are full leaf teas. There are two new teas too, Tazo Vanilla Roobios and Orange Blossom. Warm up with a cup of tea!"
"201","Tomorrow, one of our absolute favorite coffees is returning to stores, Guatemala Casi Cielo. It means ""almost heaven"" for good reason. If you've had it before, tell us why you love it."
"202","Meet b-boy Alex Lek and his crew. They're break-dancing to raise money and awareness for the invisible children of Uganda

With support from Starbucks and Youth Venture, Alex is using his passion, interest and skills to help displaced children in the East African nation. Starbucks Shared Planet Youth Action Grants fund nonprofit organizations that support young people in creating change in their community."
"203","Happy Monday! If you're a tea drinker, here's some exciting news. This month, we're moving to a new line of Tazo Full Leaf Teas. I've been drinking them for a little while now, and they're quite delicious. Can't wait for you to try!"
"204",NA
"205","It's been an amazing year. Thanks for joining us. Can't wait to make your cup of coffee in 2010. Happy New Years! ... and yes, most stores will be open tomorrow on limited hours :-)"
"206","Your rewards start as soon as you register your Starbucks Card. Register online at Starbucks.com and we’ll kick things off with a free birthday drink. Then use it to pay for coffee and treats and watch your rewards grow. You’ll soon be hearing, “This one’s on the house.”
Available at participating Starbucks in the U.S."
"207","Check out this really great last minute gift idea that would probably even make the Grinch smile. I made an insert for our customized tumblers using this great new Facebook app developed by Snapfish. Make an insert using your photos (or friends photos) and you can easily print out the insert. Start by clicking here: http://apps.facebook.com/snapfishphotogifts/
Happy Holidays!"
"208","Working at Starbucks isn't just about making coffee. Check out this video, one of our baristas made a great video about how Starbucks fits in with his musical life. He can draw pretty well on a chalkboard too."
"209","On December 7th, people from 156 countries joined together to sing All You Need is Love at exactly the same time to raise awareness of AIDS in Africa.  Here is a video from the event."
"210","We're really proud of this: In about 20 months, over 50 new ideas have been launched from the ideas you've given us on MyStarbucksIdea.com. Thank you for sharing with us! We're listening."
"211","Last Monday at 1:30pm GMT we invited musicians from 156 countries from all around the world to sing ""All You Need Is Love"" at the same time. It was a great event that was streamed live across the internet. Now, check out the final video, cut together to show all the musicians that participated. Also, In the process we set a Guinness Book of World Records event too for ""Most Nations in an online sing-along"". Who's your favorite?"
"212","Today's #12day's of Wishing item is a 16oz red cup tumbler for $6.99US/$7.99 Canada ... in store only. Stay festive while you're bringing your reusable tumbler in."
"213","Have you ever wanted to see and hear the world sing at once? This morning you can. At 5:30amPST/8:30amEST We're hosting an unprecedented live event by inviting musicians from all around the world to sing ""All You Need is Love"" from the Fab 4. 

Afterwards, we invite you to add your voice to the mix. Visit http://StarbucksLoveProject.com to join in. We even have sheet music to read."
"214","In one amazing moment, the world will come together to sing about the one thing we all have in common love. People from around the world will sing the legendary hit All You Need is Love in a single voice on December 7, 2009 at 8:30amEST. The global sing-along is part of our continuing efforts to help fight AIDS in Africa. In just one year in partnership with (RED)<U+2122>, Starbucks has generated money equivalent to more than 7 million days of medicine to help those living with HIV in Africa.

You can watch the event, and lend your own voice, when you visit StarbucksLoveProject.com. Watch streaming video from countries around the world and then join in by singing ""All You Need is Love"" yourself. For each video submitted, Starbucks will make a contribution to the Global Fund to help fight against AIDS in Africa. You can also help increase the Starbucks contribution to the Global Fund by submitting a drawing to the Love Gallery. 

Join us Monday at StarbucksLoveProject.com.

You & Starbucks. Its bigger than coffee.

Starbucks is a proud partner of (PRODUCT)RED<U+2122>"
"215","Starbucks is proud to be a part of (RED). ONE COLOR UNITES US! TODAY is World AIDS Day. Help us turn Facebook (RED).  Fan (RED) to find out how: (RED)"
"216","Today is World AIDS Day. When you come into a US or Canada store today and buy a hand-crafted beverage we’ll give 5c to the Global Fund to fight AIDS in Africa. 
Buy a coffee beverage in UK and Ireland stores, and we’ll give 5p. 

Together we can make a difference."
"217","Tomorrow is World AIDS Day. In the US and Canada, we’ll give 5c to the Global Fund to fight AIDS in Africa for every handcrafted beverage purchased. And in the UK and Ireland, we’ll give 5p for every coffee beverage purchased.  To date, your (STARBUCKS) RED purchases have generated contributions equal to more than 7 million days of medicine for those living with HIV in Africa.  Together we can make a difference."
"218","This is amazing and a great Friday morning video to watch. I hope you enjoy it as much as we do. Have a nice weekend.

Join Nalts in ""Caffeine The Musical""."
"219","Want to buy a friend a drink, but can't see them? Give them one of our three holiday drinks virtually, on Facebook. Check out the new 'Gifts' tab on our page.  You have the choice of a Peppermint Mocha, Gingerbread Latte, or a Caramel Brulee Latte. Have fun with it!"
"220","This is the 25th year that we've sold Christmas Blend. This is one of our favorite coffees. It's a great blend of Latin American and Aged Sumatra for a distinctively spicy taste. Reminds me of chilly mornings."
"221","Exciting news ... 

Starting today in the US, if you spend $15 with us you'll get a CD with exclusive tracks from U2, DMB, John Legend and Playing For Change. 

Plus we'll turn your purchase (RED) by contributing $1 from each purchase to the Global Fund to help save lives in Africa."
"222","Love the Fireworks on this new Paul McCartney CD/DVD version of Live and Let Die. Available tomorrow in US stores, ""Good Evening New York City"".

The fireworks are appropriate for all the exciting things coming out tomorrow; Christmas Blend, a secret new Holiday drink, the new Christian Siriano Mini Starbucks Card, and some other secret things! Check back tomorrow!"
"223","This is really exciting news, by the end of 2010, all new stores will be LEED certified. We're also replacing our lighting with LED lights. This will go towards our commitment to reduce energy usage in stores."
"224","We just passed 5 million fans on Facebook. We just want to take a moment to say thank you. We're honored and humbled."
"225","We're proud to announce that we're doing a Day of Service in New Orleans on 11/21 with MSNBC and wonderful organizations like @HandsOnNetwork and @CityYear.

Make a difference in your own community. Find great volunteer opportunities through this link to Hands On Network."
"226","A glorious Thanksgiving feast calls for an exceptional seasonal coffee. A pairing of coffees from Sumatra and Guatemala’s Antigua region, Starbucks Thanksgiving Blend is a spicy, full-bodied brew that complements the savory, rich and tart flavors of fall gatherings."
"227","It's official.
The Red Cup comes out tomorrow.

Pick up one of our three Holiday drinks; the Gingerbread Latte, the Eggnog Latte and the Peppermint Mocha in a Red Cup.

Which one is your favorite?"
"228","Breaking news over on twitter.  Cristian Siriano (twitter.com/csiriano) just posted a picture of the Starbucks mini card he designed for us.  Available in US and Canadian stores starting 11/17."
"229","Saw them changing this out in the music case at my local Starbucks.  Anyone know the song, artist, and next line from the title: ""Up, Down, Turn Around""?  A hint:  the CD subtitle is ""circa 80"""
"230","""Maggie the Wonder Dog"" has the #StarbucksVIA in case you were looking for it.

Be sure to visit: http://StarbucksVIA.com to enter photos + videos of how you use Starbucks VIA for the chance to win."
"231","""Maggie the Wonder Dog"" has the #StarbucksVIA. Don't think I would trust a dog I've ever had with something so important.

Be sure to visit: http://StarbucksVIA.com to enter photos + videos of how you use Starbucks VIA for the chance to win."
"232","Calling all Partners!  We're asking baristas to make a video on how working at Starbucks fits into their life. Submit your video here: http://mystarbucksstory.com/"
"233","Check out our new seasonal coffee, Sulawesi Kalosi. It's getting late in the day, but reading the description is making me want to make a press of it now. If you love Asia/Pacific coffees, try this. It's amazing, and only available for a short time, so pick it up now!"
"234","Check out these cupcakes made with Starbucks VIA. They look and taste amazing (i tried one!).

Starbucks VIA is a great way to integrate coffee into your cooking. Instant coffee is great to cook with. Why not with an instant coffee that you'd actually drink. Give it a try and post your experiences to http://StarbucksVIA.com for a chance to win a prize (see contest rules for details)."
"235","One reason we knew ""decaf"" was the number 1 customer request for Starbucks VIA was from ideas and votes on MyStarbucksIdea.com.   Read the story and submit more product (or any kind of) ideas on MSI from the link below:"
"236",NA
"237","Join us today at 11 a.m. PT, (that's just 10 minutes from now!) for a live online conversation to learn more about what Starbucks and Fair Trade are doing to improve the lives of coffee famers – broadcast live on USTREAM."
"238","Major announcement:  In response to the number 1 product request, Starbucks VIA will be available in decaf beginning November 17."
"239","New feature!  We added a tab called ""Around the World"" to this page, which connects you to Starbucks pages in other countries.  It's starting small--right now pages in the UK, Ireland, Singapore and Canada are live--but many others coming on board soon so check back often.  This page will remain US and globally focused, but if you are interested in Starbucks in a particular country, become a fan of that page, too!"
"240","Calling all Starbucks partners (and our customers who love them): We're asking Starbucks partners (employees) from around the world to submit a two minute video on how working at Starbucks fits into their life.  If you are partner, submit your story at the link below.  If you are a customer, you might encourage your favorite barista to submit a video."
"241","Today is the last day for the Starbucks VIA Taste Challenge!  Visit participating US and Canadian stores to try it compared to regular drip coffee.  Then tell us how it went at http://www.StarbucksVIA.com.   (Photo below submitted by customer Frank Murphy)"
"242",NA
"243","There is a wild thing in all of you, apparently!  We had tremendous response to the post on this wall about the Where The Wild Things Are soundtrack (available at Starbucks stores now).   Well, we aim to please, so here is a behind the-scenes look of the making of the soundtrack, featuring Spike Jonze, Karen O, and even a couple of clips from the film you might not have seen yet."
"244","Have you had a chance to take the Starbucks VIA Taste Challenge yet?
 It's happening in US and Canadian Starbucks locations today through
Monday.  After you go, share your experience in pictures, video or
words at http://www.StarbucksVIA.com.  This week we're having a content
for the best ""first taste"" content."
"245","The Starbucks VIA Road Trip comes to a stirring close in New York city.  Check it out, and visit http://www.youtube.com/starbucks to see any episodes you might have missed."
"246","It's finally here: the U.S. and Canada national launch day for Starbucks VIA Ready Brew instant coffee!   Have you heard about the Starbucks VIA Taste Challenge? Click below for details..."
"247",NA
"248","Aww...look what just landed on my desk!?  The official soundtrack for Where the Wild Things Are by Karen O and the Kids (that's Karen O from the Yeah Yeah Yeahs).  That's almost too many good things in one place.  Goes on sale tomorrow at participating US Starbucks locations."
"249","As many of you know, Starbucks VIA Ready Brew instant coffee goes on sale in our stores tomorrow.  But for those of you who might be flying, we have a special treat:  United Airlines is giving away samples on most domestic US flights tomorrow, 9/29.    Never be without great coffee."
"250","Starbucks VIA Road Trip, Episode 6:  Iowa.  Live now!"
"251","The Starbucks VIA Taste Tour continues!  Today's episode:  Nebraska!  (If you are new to the tour, Erin and Brad are driving from Seattle to New York to introduce Starbucks VIA Ready Brew--an instant coffee debuting nationally on Tuesday, 9/29)."
"252","Update:  Our STARBUCKS (RED) auction ends today at 5pm (pacific time).  Bidding is fast and furious, don't miss your chance."
"253","Did you know October is Fair Trade month?  Help celebrate with us by visiting participating U.S. locations 9/28-10/18 to try the rich and roasty-sweet combination of Fair Trade Certified<U+2122> coffees from Latin America and East Africa in our Cafe Estima Blend<U+2122>.  This is good coffee doing good things for the farmers who grew it."
"254","Starbucks VIA Road Trip update:  Episodes 3 and 4 are live!  See the team speedwalk in Montana, tailgate at a Broncos game, and milk a cow on a dairy farm in Colorado."
"255","Need to find a store or load your Starbucks Card?  Now you just take your iPhone or iPod Touch.  Introducing 2 iPhone apps from Starbucks, available now."
"256","As many of you know, the US and Canadian launch of Starbucks VIA(TM) Ready Brew instant coffee is in one week.  For those of you who have had a chance to try it (available today in Seattle/Chicago/online), we want your stories, photos, videos and recipes.  Submit here, or provide a link to where it lives, and we may feature your content on StarbucksVIA.com starting 9/29."
"257","New music alert!  NPR is previewing the ENTIRE new Avett Brothers album (plus videos, podcasts, etc).  The new record will be on sale in Starbucks on Sept 29.
  The link below is especially for those of you said you were sad not to see them playing live at our HQ (see the photos tab above for that event)."
"258","So...we generated a bit of controversy with our video link earlier this afternoon.  Some thought it hilariously captured the ups and downs of life on the road--others thought the language was decidely too saucy.  We are sorry to those who didn't appreciate it, and please see this new, slightly modified version.  We think it has the best of both worlds!"
"259","Starbucks VIA Taste Tour update--Episode 2 is live!  See Erin and Brad learn about the metric system, contend with gravity, and try to trade Starbucks VIA for fudge."
"260","Starbucks VIA Road Trip Episode 1:  Seattle.   				
					 New episodes every few days through launch on 9/29.  But watch now so you can tell your friends you were there from the beginning."
"261","Wow, the response on this page to the Pumpkin Spice Latte has been overwhelming...we are so glad you are enjoying it.  Especially want to see your PSL photos here!  (To post a photo, just click in the box that says ""Write something"" on our wall, and ""attach"" your picture)."
"262","Oh, this is cool:  We are running a (STARBUCKS)RED auction where 100% of the winning bid will go to the Global Fund to help fight AIDS in Africa.  Check it out!"
"263","Video continues to come in from our trip to Rwanda.  This is my favorite one yet."
"264","Done any farming in Boston lately?  It's happening!  In this video, learn about The Food Project.  The Food Project supports youth in producing healthy food for residents of the city and suburbs, provides youth leadership opportunities, and supports others to create change in their own communities.  Does your city have/need a program like this?"
"265","One of our favorite coffees is available available for a very limited time in our online store, for US customers, Ethiopia Sun-Dried Yirgacheffe.
After harvest the coffee cherries are spread across huge outdoor tables to dry in the sun. The dried sugars in the coffee pulp give the beans intriguing and intense nuances of flavor – and a taste experience completely different from coffee produced using the washed method."
"266","Every autumn, one of our favorite blends returns to mark the birth of Starbucks in 1971. StarbucksR Anniversary Blend is a timeless classic – fans of its smooth, slightly spicy flavor eagerly anticipate each year’s sighting."
"267","On Friday, August 28th, The Avett Brothers from North Carolina stopped by to play our offices during lunch. Here are some photos we took during the event. Be sure to pick up their new album, ""I and Love and You"" at Starbucks on 9/29."
"268","Don’t forget to pledge to buy a (STARBUCK)RED product by 8/31. Thanks for pledging to do something good!"
"269","Hey ... take a look at this, it's a great article on 10 ways to spend smarter at Starbucks. Let us know if you plan to use them, or have other tips. Share with us in the comments or on the Discussion board."
"270","Martin Coles of Starbucks sat down to talk with Janet Nkubana, co-founder of Gahaya Links, makers of handcrafted items from Rwanda. They were founded in 2003 with a mission to bring Rwandan women artisans and their families out of poverty. Listen to her fascinating story."
"271","As new stores are built and renovated, Starbucks is putting an emphasis on local and recycled, employing artists and craftsman to help capture the character of each store's surrounding neighborhood."
"272","Were you sad when Yukon Blend went away? Well ... the bear is back, and this time it's Organic."
"273","In 2009 Starbucks awarded 50 Starbucks<U+2122> Shared Planet<U+2122> Youth Action Grants totaling $842,000 to U.S. non-profit organizations that help young people identify and address local needs in their regions and make a difference through community outreach. Starbucks has provided grants to eight of the City Year chapters in 2008 and 2009 to directly support more than 1,500 young people to create change in local communities."
"274","Thanks to you, sales from (STARBUCKS)RED products have generated enough money to buy over 4,000,000 daily doses of medicine to help eliminate AIDS in Africa. This summer, we’ve added more (STARBUCKS)RED items so you can do more good and help save lives in Africa."
"275","Seeings lots of people having fun with Free Pastry Day today!   Lots of reports of groups of friends or whole offices teams coming in, coupons and mobile phones in hand.

Awesome.

If you want to learn more (or if you are on the east coast where the event has ended already and want to tell us about your pastry), click the link below or reply inline to this message."
"276","Tim Adams from The Observer talked to Howard Schultz while he was in Rwanda. He shared stories with him about why Rwanda is important to us."
"277","A few weeks ago we asked what you'd like to see us post on this page. Many of you said ""coupons."" Well, we heard you! We are giving away coupons for 20,000 pints of StarbucksR Ice Cream to Facebook users per day through July 19.

Over 800 coupons for a free pint will be given away each hour, so if you don't win now, try back on a later hour. To participate, simply click the link below and follow the instructions."
"278","Thanks for being a fan of Starbucks. Do you want to do more than just be a
fan, how about working at Starbucks? Visit our Career Center at http://www.starbucks.com/careers. Already a Partner (employee)?  

Share your experience."
"279","Happy 4th of July to those of you in the United States.  Any great Starbucks and Independence Day stories you want to share?"
"280","Take a look at what's new in stores today: 

Discover the Treat Receipt, bring in your receipt from this morning for a Grande $2 cold drink.

Also, our new food program rolled out today: No artificial flavors, dyes, trans fats, or high fructose corn syrup = ""Real Food, Simply Delicious"".

happy summer!"
"281","Here are photos from Howard's trip to Rwanda. He went there to open a new Farmer Support Center, meet with our farmers and affirm our commitment to the Rwandan government. We will be posting photos here as they come in. "
"282","Just posted the new photos from Howard's trip to Rwanda. Yesterday, he visited a coffee farm and met with local farmers. We hope you take a look and enjoy."
"283","Here are photos from Howard's trip to Rwanda. He went there to open a new Farmer Support Center, meet with our farmers and affirm our commitment to the Rwandan government. We will be posting photos here as they come in. "
"284","We've reaffirmed our commitments to East African coffee growers through microlending and grants. More: http://bit.ly/11LZPK"
"285","Here are photos from Howard's trip to Rwanda. He went there to open a new Farmer Support Center, meet with our farmers and affirm our commitment to the Rwandan government. We will be posting photos here as they come in. "
"286","Lots of big things coming in the next week, but we'll start with something small (literally)... announcing, the mini-Starbucks card: http://bit.ly/glKX8"
"287","Thanks for the great comments to our question last Friday about what you wanted us to do with this page!   One thing we heard loud and clear is a desire for coupons.   Keep watching us here and on Twitter for special offers.  Do you follow us there, too?

http://twitter.com/starbucks"
"288","About to pass 3 million fans here on Facebook.  Wow!  We are honored and humbled by this.   Question for you all:  what more or what else would you like to see us do on this site?   By that I mean what type of content, discussion or offers regarding Starb"
"289","Here is Cara's morning ritual...what's yours?"
"290","Here's pt. 3 in the series from the Serious Eats Blog. This time, it's about Coffee Sustainability: http://bit.ly/7ugHD"
"291","Looking for a summer read? We're selling a great new book called, ""Crazy for the Storm"" by Norman Ollestad. See him talk about it here: http://bit.ly/7EGc"
"292","We're honored to be voted #1 in the Zagat 'Best Coffee' Survey ... Thank you!"
"293","Check out pt. 2 of the 5 part series on the Serious Eats Blog. Read about what she learned about Roasting Coffee ... enjoy: http://bit.ly/wsYvM"
"294","We recently invited some journalists/bloggers to our HQ for 'coffee college'. I'll post these all week, here is pt. 1: http://bit.ly/3xz13"
"295","Our Pick of the Week cards are a great way to discover new music. See Kelly talk about the cards in 12seconds: http://bit.ly/4DZLym #potw"
"296",NA
"297","Doug from the coffee quality team writes about springtime in the cupping room. It's an exciting time for a coffee guy: http://bit.ly/1hVvp"
"298","Great News from the UK - Starbucks #VIA wins the ""Most Innovative Product of the Year"" ... We're pretty excited about this. Where is your favorite place that you've used Starbucks VIA?"
"299","Aww, cool article in the NY Times.   ""New Starbucks Ads Seek to Recruit Online Fans.""   Thank you so much to each and every one of you that fan, friend or follow Starbucks across the net.  We'll keep working on ways to reward you..."
"300","Recently we brought in stakeholders to talk about how to reduce our paper cup footprint ... read about it: http://bit.ly/C8Wxa #SharedPlanet"
